iteration,day,south,north,west,east,weight_light,weight_medium,weight_heavy,angle,length,strength,distance
49,1,1,0,0,0,1,0,0,0,36,2.5,4.32557395456316
50,2,1,0,0,0,1,0,0,0,36,2.5,0.265165735434158
51,3,1,0,0,0,1,0,0,0,36,2.5,5.6478517858221
52,4,1,0,0,0,1,0,0,0,36,2.5,4.6646580610924
53,5,1,0,0,0,1,0,0,0,36,2.5,0.819635739833171
54,6,1,0,0,0,1,0,0,0,36,2.5,1.37372512044324
55,1,1,0,0,0,1,0,0,0,36,4,0.65190495844405
56,2,1,0,0,0,1,0,0,0,36,4,3.10820211963165
57,3,1,0,0,0,1,0,0,0,36,4,1.36628567309551
58,4,1,0,0,0,1,0,0,0,36,4,3.91012028925538
59,5,1,0,0,0,1,0,0,0,36,4,1.17754562116224
60,6,1,0,0,0,1,0,0,0,36,4,5.04281722067563
61,1,1,0,0,0,1,0,0,0,36,5.5,1.25875487735504
62,2,1,0,0,0,1,0,0,0,36,5.5,6.15959037571822
63,3,1,0,0,0,1,0,0,0,36,5.5,4.86036767968749
64,4,1,0,0,0,1,0,0,0,36,5.5,2.85807982575761
65,5,1,0,0,0,1,0,0,0,36,5.5,3.57237906107075
66,6,1,0,0,0,1,0,0,0,36,5.5,3.06747848234687
67,1,1,0,0,0,1,0,0,0,36,7,18.9941278377067
68,2,1,0,0,0,1,0,0,0,36,7,17.366690451089
69,3,1,0,0,0,1,0,0,0,36,7,18.4527743884275
70,4,1,0,0,0,1,0,0,0,36,7,15.8311777208652
71,5,1,0,0,0,1,0,0,0,36,7,17.1142312173144
72,6,1,0,0,0,1,0,0,0,36,7,17.8413215059702
73,1,1,0,0,0,1,0,0,0,36,8.5,41.5686364474676
74,2,1,0,0,0,1,0,0,0,36,8.5,44.0622243500542
75,3,1,0,0,0,1,0,0,0,36,8.5,42.2095453903436
76,4,1,0,0,0,1,0,0,0,36,8.5,41.587892602702
77,5,1,0,0,0,1,0,0,0,36,8.5,42.1445802650022
78,6,1,0,0,0,1,0,0,0,36,8.5,41.9675738855551
79,1,1,0,0,0,1,0,0,0,36,10,82.8446854395583
80,2,1,0,0,0,1,0,0,0,36,10,84.5691203920414
81,3,1,0,0,0,1,0,0,0,36,10,84.5659816718033
82,4,1,0,0,0,1,0,0,0,36,10,84.1590067591617
83,5,1,0,0,0,1,0,0,0,36,10,85.5382997597664
84,6,1,0,0,0,1,0,0,0,36,10,80.9200158534531
85,1,1,0,0,0,1,0,0,0,38,1,1.40619769209399
86,2,1,0,0,0,1,0,0,0,38,1,1.47699226622339
87,3,1,0,0,0,1,0,0,0,38,1,3.42060756603536
88,4,1,0,0,0,1,0,0,0,38,1,0.953247612617481
89,5,1,0,0,0,1,0,0,0,38,1,4.7195173310164
90,6,1,0,0,0,1,0,0,0,38,1,4.89110851707955
91,1,1,0,0,0,1,0,0,0,38,2.5,1.33291106031653
92,2,1,0,0,0,1,0,0,0,38,2.5,3.65592970501432
93,3,1,0,0,0,1,0,0,0,38,2.5,1.24297525247806
94,4,1,0,0,0,1,0,0,0,38,2.5,3.51165987736603
95,5,1,0,0,0,1,0,0,0,38,2.5,4.41255122208616
96,6,1,0,0,0,1,0,0,0,38,2.5,3.85939609136741
97,1,1,0,0,0,1,0,0,0,38,4,2.33207650439268
98,2,1,0,0,0,1,0,0,0,38,4,0.689587803454283
99,3,1,0,0,0,1,0,0,0,38,4,2.38016338467278
100,4,1,0,0,0,1,0,0,0,38,4,2.17082067366826
101,5,1,0,0,0,1,0,0,0,38,4,2.85827601736079
102,6,1,0,0,0,1,0,0,0,38,4,3.20778211327096
103,1,1,0,0,0,1,0,0,0,38,5.5,7.53132615731426
104,2,1,0,0,0,1,0,0,0,38,5.5,5.83104475339488
105,3,1,0,0,0,1,0,0,0,38,5.5,6.44314108094755
106,4,1,0,0,0,1,0,0,0,38,5.5,8.29361858259631
107,5,1,0,0,0,1,0,0,0,38,5.5,5.11402917855089
108,6,1,0,0,0,1,0,0,0,38,5.5,5.64486505772902
109,1,1,0,0,0,1,0,0,0,38,7,23.8413809878532
110,2,1,0,0,0,1,0,0,0,38,7,24.0161062876002
111,3,1,0,0,0,1,0,0,0,38,7,22.6146536195545
112,4,1,0,0,0,1,0,0,0,38,7,20.5266024264666
113,5,1,0,0,0,1,0,0,0,38,7,24.1057163313291
114,6,1,0,0,0,1,0,0,0,38,7,23.9631599802715
115,1,1,0,0,0,1,0,0,0,38,8.5,54.9243420610746
116,2,1,0,0,0,1,0,0,0,38,8.5,54.8584878579194
117,3,1,0,0,0,1,0,0,0,38,8.5,49.5303187143234
118,4,1,0,0,0,1,0,0,0,38,8.5,48.7433112042637
119,5,1,0,0,0,1,0,0,0,38,8.5,51.5183924312959
120,6,1,0,0,0,1,0,0,0,38,8.5,50.8346439243381
121,1,1,0,0,0,1,0,0,0,38,10,97.1746579368598
122,2,1,0,0,0,1,0,0,0,38,10,94.9923766136658
123,3,1,0,0,0,1,0,0,0,38,10,96.0208270398564
124,4,1,0,0,0,1,0,0,0,38,10,99.9329370039057
125,5,1,0,0,0,1,0,0,0,38,10,99.4408766052288
126,6,1,0,0,0,1,0,0,0,38,10,98.7263646576497
127,1,1,0,0,0,1,0,0,0,40,1,5.38309677485383
128,2,1,0,0,0,1,0,0,0,40,1,5.48699614622378
129,3,1,0,0,0,1,0,0,0,40,1,3.9005329004116
130,4,1,0,0,0,1,0,0,0,40,1,5.30947066688547
131,5,1,0,0,0,1,0,0,0,40,1,5.30559998233847
132,6,1,0,0,0,1,0,0,0,40,1,2.35881939428641
133,1,1,0,0,0,1,0,0,0,40,2.5,2.45988641554138
134,2,1,0,0,0,1,0,0,0,40,2.5,5.641522972476
135,3,1,0,0,0,1,0,0,0,40,2.5,4.26906050449411
136,4,1,0,0,0,1,0,0,0,40,2.5,3.84518586908724
137,5,1,0,0,0,1,0,0,0,40,2.5,2.12670984603618
138,6,1,0,0,0,1,0,0,0,40,2.5,5.29568898334129
139,1,1,0,0,0,1,0,0,0,40,4,3.18548773735779
140,2,1,0,0,0,1,0,0,0,40,4,2.43586256924708
141,3,1,0,0,0,1,0,0,0,40,4,4.19367674401406
142,4,1,0,0,0,1,0,0,0,40,4,2.326159593433
143,5,1,0,0,0,1,0,0,0,40,4,2.12573287892307
144,6,1,0,0,0,1,0,0,0,40,4,5.32265166025072
145,1,1,0,0,0,1,0,0,0,40,5.5,9.65053697857131
146,2,1,0,0,0,1,0,0,0,40,5.5,9.37828393452955
147,3,1,0,0,0,1,0,0,0,40,5.5,10.5555680664878
148,4,1,0,0,0,1,0,0,0,40,5.5,8.83371880656705
149,5,1,0,0,0,1,0,0,0,40,5.5,10.4336449453164
150,6,1,0,0,0,1,0,0,0,40,5.5,10.8734164463609
151,1,1,0,0,0,1,0,0,0,40,7,30.0909865992209
152,2,1,0,0,0,1,0,0,0,40,7,29.4248119328149
153,3,1,0,0,0,1,0,0,0,40,7,29.5519880908939
154,4,1,0,0,0,1,0,0,0,40,7,29.443683161127
155,5,1,0,0,0,1,0,0,0,40,7,28.0990752859615
156,6,1,0,0,0,1,0,0,0,40,7,28.8484203617791
157,1,1,0,0,0,1,0,0,0,40,8.5,59.0843163178116
158,2,1,0,0,0,1,0,0,0,40,8.5,64.1357228694318
159,3,1,0,0,0,1,0,0,0,40,8.5,55.0545911686746
160,4,1,0,0,0,1,0,0,0,40,8.5,62.1945727672111
161,5,1,0,0,0,1,0,0,0,40,8.5,60.6712885955074
162,6,1,0,0,0,1,0,0,0,40,8.5,57.1298284268744
163,1,1,0,0,0,1,0,0,0,40,10,112.840167281391
164,2,1,0,0,0,1,0,0,0,40,10,116.913685485161
165,3,1,0,0,0,1,0,0,0,40,10,109.288337401686
166,4,1,0,0,0,1,0,0,0,40,10,115.582845251505
167,5,1,0,0,0,1,0,0,0,40,10,112.560814852411
168,6,1,0,0,0,1,0,0,0,40,10,111.941069397359
169,1,1,0,0,0,1,0,0,0,42,1,0.413722101826799
170,2,1,0,0,0,1,0,0,0,42,1,3.6497895369294
171,3,1,0,0,0,1,0,0,0,42,1,5.07085919714069
172,4,1,0,0,0,1,0,0,0,42,1,5.18534814515523
173,5,1,0,0,0,1,0,0,0,42,1,5.25150646874838
174,6,1,0,0,0,1,0,0,0,42,1,2.03238118066414
175,1,1,0,0,0,1,0,0,0,42,2.5,2.49517255096258
176,2,1,0,0,0,1,0,0,0,42,2.5,3.9344573298625
177,3,1,0,0,0,1,0,0,0,42,2.5,2.70600154426531
178,4,1,0,0,0,1,0,0,0,42,2.5,5.24915738785258
179,5,1,0,0,0,1,0,0,0,42,2.5,2.69502076497158
180,6,1,0,0,0,1,0,0,0,42,2.5,4.16367567512624
181,1,1,0,0,0,1,0,0,0,42,4,4.60463564716357
182,2,1,0,0,0,1,0,0,0,42,4,2.84735804258058
183,3,1,0,0,0,1,0,0,0,42,4,4.40286900173672
184,4,1,0,0,0,1,0,0,0,42,4,0.807752182060217
185,5,1,0,0,0,1,0,0,0,42,4,4.57672119950758
186,6,1,0,0,0,1,0,0,0,42,4,1.25525918903389
187,1,1,0,0,0,1,0,0,0,42,5.5,12.727191294294
188,2,1,0,0,0,1,0,0,0,42,5.5,10.8358625888354
189,3,1,0,0,0,1,0,0,0,42,5.5,12.966654127734
190,4,1,0,0,0,1,0,0,0,42,5.5,13.5104944128263
191,5,1,0,0,0,1,0,0,0,42,5.5,12.8107513007943
192,6,1,0,0,0,1,0,0,0,42,5.5,12.8373767134919
193,1,1,0,0,0,1,0,0,0,42,7,33.546371751712
194,2,1,0,0,0,1,0,0,0,42,7,32.6615537469576
195,3,1,0,0,0,1,0,0,0,42,7,34.5428512741107
196,4,1,0,0,0,1,0,0,0,42,7,33.5252600322917
197,5,1,0,0,0,1,0,0,0,42,7,35.8306312039436
198,6,1,0,0,0,1,0,0,0,42,7,32.7440337554365
199,1,1,0,0,0,1,0,0,0,42,8.5,70.5739092229474
200,2,1,0,0,0,1,0,0,0,42,8.5,72.040939779522
201,3,1,0,0,0,1,0,0,0,42,8.5,66.0638907479156
202,4,1,0,0,0,1,0,0,0,42,8.5,68.9162903857835
203,5,1,0,0,0,1,0,0,0,42,8.5,71.03164425493
204,6,1,0,0,0,1,0,0,0,42,8.5,15.8809828607887
205,1,1,0,0,0,1,0,0,0,42,10,123.025279521434
206,2,1,0,0,0,1,0,0,0,42,10,125.076394279481
207,3,1,0,0,0,1,0,0,0,42,10,125.262101638815
208,4,1,0,0,0,1,0,0,0,42,10,120.748695531992
209,5,1,0,0,0,1,0,0,0,42,10,127.613469073891
210,6,1,0,0,0,1,0,0,0,42,10,123.149717121501
211,1,1,0,0,0,1,0,0,0,44,1,0.422027226283776
212,2,1,0,0,0,1,0,0,0,44,1,1.52835196808036
213,3,1,0,0,0,1,0,0,0,44,1,3.09250824893866
214,4,1,0,0,0,1,0,0,0,44,1,5.18201174392789
215,5,1,0,0,0,1,0,0,0,44,1,3.17195784219138
216,6,1,0,0,0,1,0,0,0,44,1,1.14851170720547
217,1,1,0,0,0,1,0,0,0,44,2.5,0.641173328513241
218,2,1,0,0,0,1,0,0,0,44,2.5,4.80247536650373
219,3,1,0,0,0,1,0,0,0,44,2.5,1.60757911090316
220,4,1,0,0,0,1,0,0,0,44,2.5,5.33491353937568
221,5,1,0,0,0,1,0,0,0,44,2.5,4.42577874805446
222,6,1,0,0,0,1,0,0,0,44,2.5,3.98019547577036
223,1,1,0,0,0,1,0,0,0,44,4,1.46928281019093
224,2,1,0,0,0,1,0,0,0,44,4,5.58993753105682
225,3,1,0,0,0,1,0,0,0,44,4,4.19098308923833
226,4,1,0,0,0,1,0,0,0,44,4,5.87857292647455
227,5,1,0,0,0,1,0,0,0,44,4,2.24565531129756
228,6,1,0,0,0,1,0,0,0,44,4,1.10400586287378
229,1,1,0,0,0,1,0,0,0,44,5.5,17.629041257375
230,2,1,0,0,0,1,0,0,0,44,5.5,14.7268958452304
231,3,1,0,0,0,1,0,0,0,44,5.5,4.44256732612323
232,4,1,0,0,0,1,0,0,0,44,5.5,17.1200089701322
233,5,1,0,0,0,1,0,0,0,44,5.5,17.3179721686472
234,6,1,0,0,0,1,0,0,0,44,5.5,16.4764934572976
235,1,1,0,0,0,1,0,0,0,44,7,40.2826667297442
236,2,1,0,0,0,1,0,0,0,44,7,42.6052071854667
237,3,1,0,0,0,1,0,0,0,44,7,42.2792862727037
238,4,1,0,0,0,1,0,0,0,44,7,39.1934734501522
239,5,1,0,0,0,1,0,0,0,44,7,40.9713244598014
240,6,1,0,0,0,1,0,0,0,44,7,38.8413667095281
241,1,1,0,0,0,1,0,0,0,44,8.5,79.5450270633101
242,2,1,0,0,0,1,0,0,0,44,8.5,81.2148465487976
243,3,1,0,0,0,1,0,0,0,44,8.5,80.8058896949837
244,4,1,0,0,0,1,0,0,0,44,8.5,82.0072233836236
245,5,1,0,0,0,1,0,0,0,44,8.5,79.1087945957376
246,6,1,0,0,0,1,0,0,0,44,8.5,76.8168471918241
247,1,1,0,0,0,1,0,0,0,44,10,139.232480384635
248,2,1,0,0,0,1,0,0,0,44,10,137.386282118549
249,3,1,0,0,0,1,0,0,0,44,10,140.216371746233
250,4,1,0,0,0,1,0,0,0,44,10,142.789952961687
251,5,1,0,0,0,1,0,0,0,44,10,136.873927019025
252,6,1,0,0,0,1,0,0,0,44,10,138.341227458068
253,1,1,0,0,0,1,0,0,0,46,1,3.74707485529983
254,2,1,0,0,0,1,0,0,0,46,1,2.72187298635125
255,3,1,0,0,0,1,0,0,0,46,1,3.40704625117127
256,4,1,0,0,0,1,0,0,0,46,1,0.906224939357012
257,5,1,0,0,0,1,0,0,0,46,1,1.42377309975271
258,6,1,0,0,0,1,0,0,0,46,1,0.461911503993244
259,1,1,0,0,0,1,0,0,0,46,2.5,0.548527175940951
260,2,1,0,0,0,1,0,0,0,46,2.5,2.64232973260077
261,3,1,0,0,0,1,0,0,0,46,2.5,3.98690576975997
262,4,1,0,0,0,1,0,0,0,46,2.5,0.747996390511102
263,5,1,0,0,0,1,0,0,0,46,2.5,1.00069625340303
264,6,1,0,0,0,1,0,0,0,46,2.5,4.67523721125251
265,1,1,0,0,0,1,0,0,0,46,4,5.52767756034853
266,2,1,0,0,0,1,0,0,0,46,4,5.29697779949747
267,3,1,0,0,0,1,0,0,0,46,4,5.90627468821132
268,4,1,0,0,0,1,0,0,0,46,4,4.68857250344187
269,5,1,0,0,0,1,0,0,0,46,4,4.6397669709598
270,6,1,0,0,0,1,0,0,0,46,4,4.33686029788161
271,1,1,0,0,0,1,0,0,0,46,5.5,21.882784832101
272,2,1,0,0,0,1,0,0,0,46,5.5,17.7968790530321
273,3,1,0,0,0,1,0,0,0,46,5.5,18.802291339792
274,4,1,0,0,0,1,0,0,0,46,5.5,18.3946188517931
275,5,1,0,0,0,1,0,0,0,46,5.5,20.2936526379286
276,6,1,0,0,0,1,0,0,0,46,5.5,20.3460965276462
277,1,1,0,0,0,1,0,0,0,46,7,44.1793558221154
278,2,1,0,0,0,1,0,0,0,46,7,49.4012424164657
279,3,1,0,0,0,1,0,0,0,46,7,44.3909980669527
280,4,1,0,0,0,1,0,0,0,46,7,43.2983864788048
281,5,1,0,0,0,1,0,0,0,46,7,49.3034697068528
282,6,1,0,0,0,1,0,0,0,46,7,47.4046916094581
283,1,1,0,0,0,1,0,0,0,46,8.5,85.5896613150353
284,2,1,0,0,0,1,0,0,0,46,8.5,88.7722791725356
285,3,1,0,0,0,1,0,0,0,46,8.5,86.1285538963443
286,4,1,0,0,0,1,0,0,0,46,8.5,87.3652468455011
287,5,1,0,0,0,1,0,0,0,46,8.5,86.4626257927013
288,6,1,0,0,0,1,0,0,0,46,8.5,87.3131148764066
289,1,1,0,0,0,1,0,0,0,46,10,153.41230723187
290,2,1,0,0,0,1,0,0,0,46,10,154.254466590063
291,3,1,0,0,0,1,0,0,0,46,10,153.93337846713
292,4,1,0,0,0,1,0,0,0,46,10,155.03533169299
293,5,1,0,0,0,1,0,0,0,46,10,153.014219873668
294,6,1,0,0,0,1,0,0,0,46,10,146.98976694085
295,1,1,0,0,0,1,0,0,0,48,1,0.917692275726508
296,2,1,0,0,0,1,0,0,0,48,1,4.63703617303625
297,3,1,0,0,0,1,0,0,0,48,1,4.97411582266492
298,4,1,0,0,0,1,0,0,0,48,1,2.97635533014681
299,5,1,0,0,0,1,0,0,0,48,1,0.790194887108922
300,6,1,0,0,0,1,0,0,0,48,1,2.30362653601556
301,1,1,0,0,0,1,0,0,0,48,2.5,5.23545501887858
302,2,1,0,0,0,1,0,0,0,48,2.5,1.83835165257725
303,3,1,0,0,0,1,0,0,0,48,2.5,0.436567810660635
304,4,1,0,0,0,1,0,0,0,48,2.5,2.9267855960567
305,5,1,0,0,0,1,0,0,0,48,2.5,4.07828397041936
306,6,1,0,0,0,1,0,0,0,48,2.5,4.11154684964696
307,1,1,0,0,0,1,0,0,0,48,4,7.2221177527506
308,2,1,0,0,0,1,0,0,0,48,4,5.21319011153594
309,3,1,0,0,0,1,0,0,0,48,4,5.60594530367629
310,4,1,0,0,0,1,0,0,0,48,4,5.45610800555445
311,5,1,0,0,0,1,0,0,0,48,4,4.79832948419115
312,6,1,0,0,0,1,0,0,0,48,4,7.53710599367642
313,1,1,0,0,0,1,0,0,0,48,5.5,21.7176687534005
314,2,1,0,0,0,1,0,0,0,48,5.5,23.3429894169939
315,3,1,0,0,0,1,0,0,0,48,5.5,22.9487839926281
316,4,1,0,0,0,1,0,0,0,48,5.5,21.1439977064805
317,5,1,0,0,0,1,0,0,0,48,5.5,23.044193717827
318,6,1,0,0,0,1,0,0,0,48,5.5,22.3786097716762
319,1,1,0,0,0,1,0,0,0,48,7,52.5253372804855
320,2,1,0,0,0,1,0,0,0,48,7,52.153188457543
321,3,1,0,0,0,1,0,0,0,48,7,54.8647089500709
322,4,1,0,0,0,1,0,0,0,48,7,54.7290346399519
323,5,1,0,0,0,1,0,0,0,48,7,52.4894255916145
324,6,1,0,0,0,1,0,0,0,48,7,52.1734937558151
325,1,1,0,0,0,1,0,0,0,48,8.5,94.8797516748518
326,2,1,0,0,0,1,0,0,0,48,8.5,96.8366335425272
327,3,1,0,0,0,1,0,0,0,48,8.5,101.049494824278
328,4,1,0,0,0,1,0,0,0,48,8.5,101.475721694883
329,5,1,0,0,0,1,0,0,0,48,8.5,97.7831731426978
330,6,1,0,0,0,1,0,0,0,48,8.5,96.4025097736138
331,1,1,0,0,0,1,0,0,0,48,10,168.753421518996
332,2,1,0,0,0,1,0,0,0,48,10,167.692502998747
333,3,1,0,0,0,1,0,0,0,48,10,162.077893415056
334,4,1,0,0,0,1,0,0,0,48,10,153.08823902379
335,5,1,0,0,0,1,0,0,0,48,10,166.02570450182
336,6,1,0,0,0,1,0,0,0,48,10,164.716678676034
337,1,1,0,0,0,1,0,0,5,34,1,3.12448595950866
338,2,1,0,0,0,1,0,0,5,34,1,3.34723730615723
339,3,1,0,0,0,1,0,0,5,34,1,0.376726561598476
340,4,1,0,0,0,1,0,0,5,34,1,3.49586084217749
341,5,1,0,0,0,1,0,0,5,34,1,1.23873040149003
342,6,1,0,0,0,1,0,0,5,34,1,4.40385242048129
343,1,1,0,0,0,1,0,0,5,34,2.5,3.73108394083236
344,2,1,0,0,0,1,0,0,5,34,2.5,3.53164207546941
345,3,1,0,0,0,1,0,0,5,34,2.5,3.71187276945586
346,4,1,0,0,0,1,0,0,5,34,2.5,2.08604789174105
347,5,1,0,0,0,1,0,0,5,34,2.5,4.27379729720083
348,6,1,0,0,0,1,0,0,5,34,2.5,0.543746129498222
349,1,1,0,0,0,1,0,0,5,34,4,4.43707350754453
350,2,1,0,0,0,1,0,0,5,34,4,4.60374576879933
351,3,1,0,0,0,1,0,0,5,34,4,4.41758348635924
352,4,1,0,0,0,1,0,0,5,34,4,6.14261001519139
353,5,1,0,0,0,1,0,0,5,34,4,5.27124932624451
354,6,1,0,0,0,1,0,0,5,34,4,2.67885400368522
355,1,1,0,0,0,1,0,0,5,34,5.5,12.1810973090799
356,2,1,0,0,0,1,0,0,5,34,5.5,10.5518174723132
357,3,1,0,0,0,1,0,0,5,34,5.5,12.7907530858878
358,4,1,0,0,0,1,0,0,5,34,5.5,13.4937797841021
359,5,1,0,0,0,1,0,0,5,34,5.5,13.4992359722267
360,6,1,0,0,0,1,0,0,5,34,5.5,10.075275113336
361,1,1,0,0,0,1,0,0,5,34,7,26.4151215582175
362,2,1,0,0,0,1,0,0,5,34,7,24.7842824205526
363,3,1,0,0,0,1,0,0,5,34,7,23.5189874922082
364,4,1,0,0,0,1,0,0,5,34,7,27.5288208654299
365,5,1,0,0,0,1,0,0,5,34,7,27.8972220406248
366,6,1,0,0,0,1,0,0,5,34,7,26.0451432201408
367,1,1,0,0,0,1,0,0,5,34,8.5,51.6840989540618
368,2,1,0,0,0,1,0,0,5,34,8.5,51.741115870617
369,3,1,0,0,0,1,0,0,5,34,8.5,50.1633502798493
370,4,1,0,0,0,1,0,0,5,34,8.5,51.7619247861779
371,5,1,0,0,0,1,0,0,5,34,8.5,51.1814183211847
372,6,1,0,0,0,1,0,0,5,34,8.5,50.8834102269626
373,1,1,0,0,0,1,0,0,5,34,10,92.1721775185762
374,2,1,0,0,0,1,0,0,5,34,10,93.5860914490968
375,3,1,0,0,0,1,0,0,5,34,10,90.1001563936791
376,4,1,0,0,0,1,0,0,5,34,10,92.6855099851216
377,5,1,0,0,0,1,0,0,5,34,10,91.8352193383122
378,6,1,0,0,0,1,0,0,5,34,10,91.3133196137103
379,1,1,0,0,0,1,0,0,5,36,1,0.463907237805861
380,2,1,0,0,0,1,0,0,5,36,1,0.795747092405166
381,3,1,0,0,0,1,0,0,5,36,1,5.21957745359369
382,4,1,0,0,0,1,0,0,5,36,1,0.475129728152218
383,5,1,0,0,0,1,0,0,5,36,1,0.991660831809288
384,6,1,0,0,0,1,0,0,5,36,1,4.56546669227934
385,1,1,0,0,0,1,0,0,5,36,2.5,4.05853645333451
386,2,1,0,0,0,1,0,0,5,36,2.5,5.03331893059108
387,3,1,0,0,0,1,0,0,5,36,2.5,2.38978753569395
388,4,1,0,0,0,1,0,0,5,36,2.5,0.911962687000022
389,5,1,0,0,0,1,0,0,5,36,2.5,2.68353019270555
390,6,1,0,0,0,1,0,0,5,36,2.5,4.00309713314722
391,1,1,0,0,0,1,0,0,5,36,4,6.41029274403405
392,2,1,0,0,0,1,0,0,5,36,4,4.98108979892221
393,3,1,0,0,0,1,0,0,5,36,4,5.14695175592562
394,4,1,0,0,0,1,0,0,5,36,4,5.37410922106246
395,5,1,0,0,0,1,0,0,5,36,4,5.17993456337553
396,6,1,0,0,0,1,0,0,5,36,4,5.61163407801329
397,1,1,0,0,0,1,0,0,5,36,5.5,14.1734093276514
398,2,1,0,0,0,1,0,0,5,36,5.5,14.6651524392297
399,3,1,0,0,0,1,0,0,5,36,5.5,13.6282176250254
400,4,1,0,0,0,1,0,0,5,36,5.5,16.1158252086457
401,5,1,0,0,0,1,0,0,5,36,5.5,2.82735662422321
402,6,1,0,0,0,1,0,0,5,36,5.5,13.7703338628911
403,1,1,0,0,0,1,0,0,5,36,7,31.9636505811865
404,2,1,0,0,0,1,0,0,5,36,7,31.3868203810296
405,3,1,0,0,0,1,0,0,5,36,7,30.0915729882551
406,4,1,0,0,0,1,0,0,5,36,7,29.6159862264341
407,5,1,0,0,0,1,0,0,5,36,7,31.24736543566
408,6,1,0,0,0,1,0,0,5,36,7,29.8195470143158
409,1,1,0,0,0,1,0,0,5,36,8.5,57.1010867381676
410,2,1,0,0,0,1,0,0,5,36,8.5,61.4247009315233
411,3,1,0,0,0,1,0,0,5,36,8.5,61.3309074620135
412,4,1,0,0,0,1,0,0,5,36,8.5,57.9853033723144
413,5,1,0,0,0,1,0,0,5,36,8.5,62.8687570378773
414,6,1,0,0,0,1,0,0,5,36,8.5,56.7449194401075
415,1,1,0,0,0,1,0,0,5,36,10,108.770865116502
416,2,1,0,0,0,1,0,0,5,36,10,106.224480488773
417,3,1,0,0,0,1,0,0,5,36,10,105.739141270208
418,4,1,0,0,0,1,0,0,5,36,10,110.323009131378
419,5,1,0,0,0,1,0,0,5,36,10,107.925559731806
420,6,1,0,0,0,1,0,0,5,36,10,19.6548512533419
421,1,1,0,0,0,1,0,0,5,38,1,3.83221631877733
422,2,1,0,0,0,1,0,0,5,38,1,2.14554979263207
423,3,1,0,0,0,1,0,0,5,38,1,4.58285269916248
424,4,1,0,0,0,1,0,0,5,38,1,1.21385428947396
425,5,1,0,0,0,1,0,0,5,38,1,3.52942330617737
